1×1=1,いちかけるいちはいち,いちかけるいちは,いち,いんいちがいち,いんいちが,いち
1×2=2,いちかけるにはに,いちかけるには,に,いんにがに,いんにが,に
1×3=3,いちかけるさんはさん,いちかけるさんは,さん,いんさんがさん,いんさんが,さん
1×4=4,いちかけるよんはよん,いちかけるよんは,よん,いんしがし,いんしが,し
1×5=5,いちかけるごはご,いちかけるごは,ご,いんごがご,いんごが,ご
1×6=6,いちかけるろくはろく,いちかけるろくは,ろく,いんろくがろく,いんろくが,ろく
1×7=7,いちかけるななはなな,いちかけるななは,なな,いんしちがしち,いんしちが,しち
1×8=8,いちかけるはちははち,いちかけるはちは,はち,いんはちがはち,いんはちが,はち
1×9=9,いちかけるきゅうはきゅう,いちかけるきゅうは,きゅう,いんくがく,いんくが,く
2×1=2,にかけるいちはに,にかけるいちは,に,にいちがに,にいちが,に
2×2=4,にかけるにはよん,にかけるには,よん,ににんがし,ににんが,し
2×3=6,にかけるさんはろく,にかけるさんは,ろく,にさんがろく,にさんが,ろく
2×4=8,にかけるよんははち,にかけるよんは,はち,にしがはち,にしが,はち
2×5=10,にかけるごはじゅう,にかけるごは,じゅう,にごじゅう,にご,じゅう
2×6=12,にかけるろくはじゅうに,にかけるろくは,じゅうに,にろくじゅうに,にろく,じゅうに
2×7=14,にかけるななはじゅうよん,にかけるななは,じゅうよん,にしちじゅうし,にしち,じゅうし
2×8=16,にかけるはちはじゅうろく,にかけるはちは,じゅうろく,にはちじゅうろく,にはち,じゅうろく
2×9=18,にかけるきゅうはじゅうはち,にかけるきゅうは,じゅうはち,にくじゅうはち,にく,じゅうはち
3×1=3,さんかけるいちはさん,さんかけるいちは,さん,さんいちがさん,さんいちが,さん
3×2=6,さんかけるにはろく,さんかけるには,ろく,さんにがろく,さんにが,ろく
3×3=9,さんかけるさんはきゅう,さんかけるさんは,きゅう,さざんがく,さざんが,く
3×4=12,さんかけるよんはじゅうに,さんかけるよんは,じゅうに,さんしじゅうに,さんし,じゅうに
3×5=15,さんかけるごはじゅうご,さんかけるごは,じゅうご,さんごじゅうご,さんご,じゅうご
